wid	txtid	inv_nr	cth_number	lnr	trans	text	text_tags	text_clean	subscr	matlect	num	sign	corr	deleted	added	ras	rasx	gap	note	link	mrp0sel	combined
0	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 1	LUGALuš		<sGr><laes_in/>LUGAL<laes_fin/></sGr>-uš	⸢LUGAL⸣-uš													1a 	{'lg': 'Hit', 'mrp1': 'LUGAL=u-@König@{ a → FNL(u).NOM.SG.C} { b → ACC.PL.C}@28.3.1.1@', 'mrp2': 'LUGAL=ma-@Šarrumma@{ a → DN.STF} { b → DN.HURR.ABS}@36.1.1 += uš@PPRO.3PL.C.ACC@@D', 'mrp3': 'LUGAL=ma-@Šarrumma@{ a → DN.STF} { b → DN.HURR.ABS}@36.1.1 += uš@PPRO.3PL.C.ACC@@D', 'mrp4': 'LUGAL=u-@König@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.3.1.1 += uš@PPRO.3PL.C.ACC@@'}
1	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 1	kuapi	ku-wa-pí	ku-wa-pí	ku-wa-pí													2	{'lg': 'Hit', 'mrp1': 'kuwapi@wo@@INTadv@', 'mrp2': 'kuwapi@sobald als@@CNJ@', 'mrp3': 'kuwapi@irgendwo@@INDadv@'}
2	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 1	DINGIRaš		<sGr>DINGIR</sGr><d>MEŠ</d>-aš	DINGIR~MEŠ~-aš													1d 	{'lg': 'Hit', 'mrp1': 'DINGIR=n-@Gottheit@{ a → FNL(a).NOM.SG.C} { b → GEN.SG} { c → GEN.PL} { d → D/L.PL}@28.1.1.1@', 'mrp2': 'DINGIR=u/i-@Gott@{ a → FNL(a).NOM.SG.C} { b → GEN.SG} { c → GEN.PL} { d → D/L.PL}@28.3.1.1.1@', 'mrp3': 'DINGIR=n-@Gottheit@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.1.1.1 += aš@{ R → PPRO.3SG.C.NOM} { S → PPRO.3PL.C.ACC}@@', 'mrp4': 'DINGIR=u/i-@Gott@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.3.1.1.1 += aš@{ R → PPRO.3SG.C.NOM} { S → PPRO.3PL.C.ACC}@@', 'mrp5': 'DINGIR=@Gott@{ a → HURR.ABS.SG} { b → STF}@30.10.4.2 += aš@{ R → PPRO.3SG.C.NOM} { S → PPRO.3PL.C.ACC}@@'}
3	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 1	aruaizi	a-ru-wa-a-ez-zi	a-ru-wa-a-ez-zi	a-ru-wa-a-ez-zi													1	{'lg': 'Hit', 'mrp1': 'arw=ā(e)-@sich verneigen@3SG.PRS@I.9@'}
4	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 1	GUDU₁₂		<d>LÚ</d><sGr>GUDU₁₂</sGr>	~LÚ~GUDU₁₂													1a 	{'lg': 'Hit', 'mrp1': 'GUDU₁₂=@Gesalbter@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.2.1.1@LÚ'}
5	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 1	kišan	kiš-an	kiš-an	kiš-an													1	{'lg': 'Hit', 'mrp1': 'kišan@in dieser Weise@@DEMadv@', 'mrp2': 'kiš=@werden@{ a → PTCP.NOM.SG.N} { b → PTCP.ACC.SG.N} { c → PTCP.INDCL}@III.1@', 'mrp3': 'kiš=ā(e)-@kämmen@{ a → PTCP.NOM.SG.N} { b → PTCP.ACC.SG.N} { c → PTCP.INDCL}@I.9@', 'mrp4': 'ka-@dieser@{ a → DEM1.NOM.SG.N} { b → DEM1.ACC.SG.N}@19 += ššan@OBPs@@', 'mrp5': 'gi=@Elle@{ a → NOM.SG(ABBR)} { b → ACC.SG(ABBR)} { c → NOM.PL(ABBR)} { d → ACC.PL(ABBR)} { e → GEN.SG(ABBR)} { f → GEN.PL(ABBR)} { g → D/L.SG(ABBR)} { h → D/L.PL(ABBR)} { i → ALL(ABBR)} { j → ABL(ABBR)} { k → INS(ABBR)} { l → VOC.SG(ABBR)} { m → VOC.PL(ABBR)}@14.2.3 += ššan@OBPs@@'}
6	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 1	malti	ma-al-di	ma-al-di	ma-al-di													1a 	{'lg': 'Hit', 'mrp1': 'mald=@äußern@{ a → 3SG.PRS} { b → 2SG.IMP}@II.1.3@', 'mrp2': 'mald=a-@äußern@2SG.IMP@II.3@', 'mrp3': 'mall=@mahlen@2SG.PRS@II.1@'}
7	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 2	taparnakan		<del_in/>t<del_fin/>a-ba-ar-na-kán	[t]a-ba-ar-na-kán													1a 	{'lg': 'Hit', 'mrp1': 'tabarn=a-@(Königstitel)@{ a → NOM.SG(!)} { b → ALL} { c → STF}@1.1 += kkan@OBPk@@', 'mrp2': 'taparn=a-@Tabarna@{ a → PNm.NOM.SG(UNM)} { b → PNm.ACC.SG(UNM)} { c → PNm.GEN.SG(UNM)} { d → PNm.D/L.SG(UNM)} { e → PNm.ABL(UNM)} { f → PNm.INS(UNM)} { g → PNm.VOC.SG}@38.2 += kkan@OBPk@@m', 'mrp3': 'tapr=i-@Stuhl@{ a → HURR.ABS.PL} { b → HURR.RLT.PL.ABS}@30.10.1 += kkan@OBPk@@(GIŠ/D)'}
8	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 2	LUGALuš		<sGr>LUGAL</sGr>-uš	LUGAL-uš													1a 	{'lg': 'Hit', 'mrp1': 'LUGAL=u-@König@{ a → FNL(u).NOM.SG.C} { b → ACC.PL.C}@28.3.1.1@', 'mrp2': 'LUGAL=ma-@Šarrumma@{ a → DN.STF} { b → DN.HURR.ABS}@36.1.1 += uš@PPRO.3PL.C.ACC@@D', 'mrp3': 'LUGAL=ma-@Šarrumma@{ a → DN.STF} { b → DN.HURR.ABS}@36.1.1 += uš@PPRO.3PL.C.ACC@@D', 'mrp4': 'LUGAL=u-@König@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.3.1.1 += uš@PPRO.3PL.C.ACC@@'}
9	IBoT 1.30+	Bo 8141 {€2}	821	{€1} Vs. 2	DINGIRaš		<sGr>DINGIR</sGr><d>MEŠ</d>-aš	DINGIR~MEŠ~-aš													1d 	{'lg': 'Hit', 'mrp1': 'DINGIR=n-@Gottheit@{ a → FNL(a).NOM.SG.C} { b → GEN.SG} { c → GEN.PL} { d → D/L.PL}@28.1.1.1@', 'mrp2': 'DINGIR=u/i-@Gott@{ a → FNL(a).NOM.SG.C} { b → GEN.SG} { c → GEN.PL} { d → D/L.PL}@28.3.1.1.1@', 'mrp3': 'DINGIR=n-@Gottheit@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.1.1.1 += aš@{ R → PPRO.3SG.C.NOM} { S → PPRO.3PL.C.ACC}@@', 'mrp4': 'DINGIR=u/i-@Gott@{ a → NOM.SG(UNM)} { b → ACC.SG(UNM)} { c → NOM.PL(UNM)} { d → ACC.PL(UNM)} { e → GEN.SG(UNM)} { f → GEN.PL(UNM)} { g → D/L.SG(UNM)} { h → D/L.PL(UNM)} { i → ALL(UNM)} { j → ABL(UNM)} { k → INS(UNM)} { l → VOC.SG(UNM)} { m → VOC.PL(UNM)}@28.3.1.1.1 += aš@{ R → PPRO.3SG.C.NOM} { S → PPRO.3PL.C.ACC}@@', 'mrp5': 'DINGIR=@Gott@{ a → HURR.ABS.SG} { b → STF}@30.10.4.2 += aš@{ R → PPRO.3SG.C.NOM} { S → PPRO.3PL.C.ACC}@@'}
